Date,Time,Sampling_Point,Ambient_Temperature,Ambient_Humidity,Sample_Temperature,pH,EC_µS_cm,TDS_mg_L,TSS_mL_sed_L,DO_mg_L,Water_Level_cm,Turbidity_NTU,Hardness_mg_CaCO3_L,Hardness_Classification,Total_Cl_mg_L,Year,Month,Day,pH_Category,Water_Quality
2023-05-09,14:15,Puente Bilbao,17.0,0.47,19.0,8.3,1630,810.0,1.8,4.3,35.0,59.25,147.0,BLANDA,156.0,2023,5,9,Neutral,Good
2023-06-14,14:30,Puente Bilbao,11.9,0.47,13.0,8.1,1000,490.0,18.0,5.3,35.0,41.2,94.0,BLANDA,78.0,2023,6,14,Neutral,Good
2023-06-14,14:30,Puente Bilbao,11.9,0.47,13.0,8.2,1000,490.0,18.0,4.67,35.0,38.9,86.0,BLANDA,82.0,2023,6,14,Neutral,Good
2023-06-14,15:00,Arroyo_Las Torres,11.9,0.47,13.0,8.3,1350,670.0,0.1,7.01,35.0,30.7,200.0,SEMIDURA,117.0,2023,6,14,Neutral,Good
2023-06-14,15:00,Arroyo_Las Torres,11.9,0.47,13.0,8.5,1350,660.0,0.1,7.23,35.0,25.6,196.0,SEMIDURA,117.0,2023,6,14,Neutral,Good
2023-06-14,15:00,Puente Irigoyen,11.9,0.47,13.0,8.2,1200,590.0,26.0,5.44,35.0,24.6,151.0,SEMIDURA,109.0,2023,6,14,Neutral,Good
2023-06-14,15:00,Puente Irigoyen,11.9,0.47,12.9,8.2,1220,600.0,26.0,5.34,35.0,24.0,151.0,SEMIDURA,113.0,2023,6,14,Neutral,Good
2023-06-14,15:30,Puente Falbo,11.9,0.47,12.8,8.0,1260,620.0,36.0,2.24,35.0,21.0,139.0,BLANDA,113.0,2023,6,14,Neutral,Good
2023-06-14,15:30,Puente Falbo,11.9,0.47,12.9,8.0,1260,620.0,36.0,1.95,35.0,21.5,139.0,BLANDA,113.0,2023,6,14,Neutral,Good
2023-06-23,12:30,Puente Bilbao,10.4,0.87,13.9,8.2,1250,620.0,28.0,4.55,35.0,60.5,102.0,BLANDA,121.0,2023,6,23,Neutral,Good
2023-06-23,12:30,Puente Bilbao,10.4,0.87,13.8,8.1,1220,600.0,28.0,4.47,35.0,118.0,102.0,BLANDA,121.0,2023,6,23,Neutral,Good
2023-06-23,12:45,Arroyo_Las Torres,10.4,0.87,13.2,8.3,1460,720.0,56.0,5.81,35.0,51.1,204.0,SEMIDURA,129.0,2023,6,23,Neutral,Good
2023-06-23,12:45,Arroyo_Las Torres,10.4,0.87,13.2,8.3,1410,700.0,56.0,5.77,35.0,55.8,200.0,SEMIDURA,133.0,2023,6,23,Neutral,Good
2023-06-23,12:55,Puente Irigoyen,10.4,0.87,14.4,8.1,1280,630.0,36.0,2.66,35.0,56.8,130.0,BLANDA,109.0,2023,6,23,Neutral,Good
2023-06-23,12:55,Puente Irigoyen,10.4,0.87,14.1,8.1,1290,640.0,36.0,3.38,35.0,52.8,122.0,BLANDA,113.0,2023,6,23,Neutral,Good
2023-06-23,13:05,Arroyo Salguero,10.4,0.87,14.6,8.2,930,460.0,0.1,5.88,35.0,5.16,204.0,SEMIDURA,59.0,2023,6,23,Neutral,Good
2023-06-23,13:05,Arroyo Salguero,10.4,0.87,14.8,8.2,940,460.0,0.1,6.02,35.0,127.0,208.0,SEMIDURA,63.0,2023,6,23,Neutral,Good
2023-06-23,13:15,Puente Falbo,10.4,0.87,14.3,8.1,1230,610.0,24.0,2.93,35.0,57.9,159.0,SEMIDURA,102.0,2023,6,23,Neutral,Good
2023-06-23,13:15,Puente Falbo,10.4,0.87,14.4,8.1,1290,640.0,24.0,3.48,35.0,53.9,163.0,SEMIDURA,102.0,2023,6,23,Neutral,Good
2023-06-26,14:15,Puente Bilbao,18.2,0.77,15.3,7.8,1280,630.0,110.0,2.03,35.0,296.1,106.0,BLANDA,128.0,2023,6,26,Neutral,Good
2023-06-26,14:15,Puente Bilbao,18.2,0.77,15.3,8.0,1290,630.0,110.0,1.94,35.0,296.1,106.0,BLANDA,126.0,2023,6,26,Neutral,Good
